flight_number,airline,source_cityid,destination_cityid
625,Jet Airways,458,283
178,TruJet,210,207
452,Jetlite,207,458
2512,GoAir,635,140
792,AirAsia India,279,140
617,Vistara,140,138
7353,TestIndigo,207,251
6056,TestIndigo,116,13
6117,TestIndigo,207,120
3318,SpiceJet,82,120
621,TestIndigo,120,458
287,SpiceJet,458,120
516,TestIndigo,120,82
7193,TestIndigo,120,339
436,SpiceJet,746,458
7254,TestIndigo,1070,279
6876,TestIndigo,131,131
636,TestIndigo,487,140
375,Jet Airways,140,1157
6334,TestIndigo,82,279
692,Jet Airways,53,458
408,Air India,635,140
867,Jet Airways,82,120
434,TestIndigo,207,82
267,TestIndigo,13,140
138,Jet Airways,1148,210
2770,SpiceJet,140,138
6630,SpiceJet,13,702
618,GoAir,487,140
659,TestIndigo,279,192
189,TestIndigo,140,458
822,Vistara,120,458
738,AirAsia India,140,82
529,SpiceJet,82,13
816,TestIndigo,279,487
312,SpiceJet,53,140
522,TruJet,131,120
1174,Air India,82,140
212,TruJet,53,207
5004,TestIndigo,325,140
259,SpiceJet,140,283
5989,TestIndigo,283,236
3713,SpiceJet,120,735
856,TestIndigo,13,13
7989,TestIndigo,23,23
741,GoAir,325,13
5343,TestIndigo,217,458
6261,TestIndigo,31,31
5007,TestIndigo,120,140
623,SpiceJet,120,283
840,Air India,207,140
2642,SpiceJet,212,140
7347,TestIndigo,53,207
2842,SpiceJet,283,120
619,Air India,458,207
717,Vistara,82,635
743,GoAir,13,325
3507,SpiceJet,283,635
2554,TestIndigo,140,140
2774,SpiceJet,31,217
6427,SpiceJet,283,120
2298,TestIndigo,140,13
3533,Jet Airways,140,487
172,GoAir,702,140
537,TruJet,120,471
751,Jet Airways,1085,120
486,Air India,688,140
989,TestIndigo,210,82
672,Vistara,1157,140
2176,TestIndigo,82,140
3468,SpiceJet,138,138
5381,TestIndigo,210,458
2056,TestIndigo,140,31
808,Vistara,82,140
345,SpiceJet,120,192
312,AirAsia India,458,120
746,TestIndigo,13,283
859,TestIndigo,283,730
529,AirAsia India,192,283
738,SpiceJet,13,13
1585,AirAsia India,207,82
705,Jet Airways,235,13
320,Jet Airways,82,1148
873,Jet Airways,82,120
592,Vistara,31,140
824,GoAir,1019,82
825,Air India,140,998
727,Jet Airways,140,635
6176,TestIndigo,140,458
716,TestIndigo,283,82
352,Jet Airways,140,458
292,TestIndigo,120,192
3453,SpiceJet,138,13
9681,TestIndigo,82,209
8714,SpiceJet,217,140
812,Vistara,82,140
960,Jet Airways,31,140
2297,TestIndigo,140,82
638,SpiceJet,13,458
923,Vistara,82,13
3755,SpiceJet,1170,1091
804,Jetlite,210,82
688,TestIndigo,283,635
881,GoAir,1179,82
874,TestIndigo,82,82
783,Jet Airways,82,120
5983,TestIndigo,23,702
939,Vistara,140,13
451,TestIndigo,82,101
419,GoAir,325,458
902,TestIndigo,82,635
429,TestIndigo,283,283
6237,TestIndigo,12,82
3565,SpiceJet,193,207
875,TestIndigo,209,82
106,GoAir,140,116
635,GoAir,13,251
603,Air India,458,82
981,TestIndigo,138,458
393,Jet Airways,82,458
316,TestIndigo,11,82
191,SpiceJet,140,82
418,Jetlite,458,217
669,TestIndigo,279,325
547,GoAir,771,207
171,GoAir,140,140
1516,AirAsia India,82,207
3558,Jet Airways,23,635
6758,TestIndigo,120,635
879,Jetlite,458,487
615,Vistara,140,138
788,Jet Airways,217,140
421,TestIndigo,140,771
288,TestIndigo,82,1179
299,GoAir,283,325
898,Jetlite,101,458
136,Jet Airways,458,192
455,TestIndigo,116,140
789,SpiceJet,140,82
542,Air India,140,140
173,Jet Airways,702,207
836,Jet Airways,82,140
493,Jet Airways,120,702
708,SpiceJet,82,207
776,AirAsia India,140,192
7311,TestIndigo,192,283
2169,TestIndigo,131,140
557,TestIndigo,102,102
797,TestIndigo,120,283
595,Air India,120,1157
8169,SpiceJet,140,13
904,TestIndigo,325,82
920,GoAir,120,1070
5003,TestIndigo,140,325
8032,TestIndigo,82,283
938,TestIndigo,102,82
991,Jet Airways,140,954
633,TestIndigo,283,140
110,TruJet,82,207
410,Air India,635,140
6432,SpiceJet,207,458
925,SpiceJet,13,120
605,TestIndigo,120,120
1268,SpiceJet,207,101
223,SpiceJet,458,746
435,Jet Airways,702,210
978,AirAsia India,140,283
311,Jet Airways,458,140
256,GoAir,1019,140
821,TestIndigo,458,207
1532,GoAir,207,1179
380,Jet Airways,746,458
946,Jet Airways,283,140
6213,TestIndigo,120,209
770,Air India,140,283
314,AirAsia India,140,458
722,Vistara,192,140
3417,SpiceJet,82,1170
521,TestIndigo,279,82
805,Jet Airways,82,207
378,GoAir,458,82
863,Air India,140,458
778,Jet Airways,140,210
819,Air India,140,1148
6363,SpiceJet,207,458
2156,TestIndigo,339,140
461,Jet Airways,458,120
533,SpiceJet,140,635
512,GoAir,283,458
182,Jet Airways,1114,140
5153,TestIndigo,458,283
7922,TestIndigo,471,207
365,SpiceJet,458,283
935,TestIndigo,13,102
119,TestIndigo,11,82
550,GoAir,207,13
2173,TestIndigo,140,458
1455,AirAsia India,140,82
726,TestIndigo,102,192
167,SpiceJet,13,82
7932,TestIndigo,12,23
449,SpiceJet,82,458
734,TestIndigo,82,116
314,SpiceJet,120,131
6491,TestIndigo,82,207
799,GoAir,223,13
1421,GoAir,120,1070
735,TestIndigo,13,82
7272,TestIndigo,279,1085
364,GoAir,13,13
6915,TestIndigo,82,207
3502,Jet Airways,31,458
424,Air India,102,140
926,SpiceJet,120,13
563,Air India,120,82
473,TestIndigo,82,207
641,SpiceJet,13,82
174,Jet Airways,207,702
729,TestIndigo,82,120
6458,TestIndigo,458,283
966,Vistara,13,140
6847,TestIndigo,120,82
489,Air India,140,140
721,Vistara,140,192
892,Vistara,702,458
990,Vistara,207,140
857,TestIndigo,82,131
6897,TestIndigo,82,82
405,Air India,1157,140
415,Air India,140,635
183,GoAir,140,140
3788,SpiceJet,217,101
487,Jet Airways,458,120
7926,TestIndigo,23,23
584,Air India,1070,82
467,Air India,140,1170
532,TruJet,842,120
694,TestIndigo,140,192
671,Vistara,140,1157
3714,Air India,209,283
535,TestIndigo,120,140
525,TestIndigo,11,11
776,SpiceJet,120,458
984,AirAsia India,458,82
789,AirAsia India,192,140
2155,TestIndigo,140,339
412,Jet Airways,82,235
265,TestIndigo,102,82
187,GoAir,120,140
348,SpiceJet,13,207
245,SpiceJet,458,131
6157,TestIndigo,325,283
2672,SpiceJet,1019,207
709,AirAsia India,140,998
5383,TestIndigo,207,458
6838,TestIndigo,82,635
996,GoAir,207,140
3075,SpiceJet,82,1070
972,TestIndigo,120,116
6235,TestIndigo,82,12
658,TestIndigo,140,13
3469,SpiceJet,120,207
1769,TestIndigo,210,82
1316,GoAir,1157,13
2087,TestIndigo,140,487
469,Air India,140,140
632,AirAsia India,771,458
889,Air India,140,192
7194,TestIndigo,339,120
6636,TestIndigo,13,279
498,TestIndigo,82,82
491,TestIndigo,31,82
3513,GoAir,140,120
535,TruJet,120,120
525,TruJet,120,131
694,Jetlite,53,458
573,TestIndigo,283,192
639,GoAir,207,207
2983,SpiceJet,138,13
5997,TestIndigo,23,82
229,TestIndigo,458,120
8901,SpiceJet,140,53
532,TestIndigo,131,82
582,GoAir,116,458
944,Vistara,458,140
414,SpiceJet,192,82
955,Vistara,140,140
643,SpiceJet,134,82
556,TestIndigo,217,82
963,TestIndigo,138,140
2128,TestIndigo,140,120
834,TestIndigo,458,207
634,TestIndigo,140,283
8720,SpiceJet,82,13
3746,SpiceJet,120,207
882,TestIndigo,120,120
6013,TestIndigo,120,140
774,Jet Airways,82,702
7133,TestIndigo,1170,82
2976,SpiceJet,13,235
893,Jet Airways,140,101
385,SpiceJet,702,635
676,Air India,283,458
2726,TestIndigo,1179,140
280,GoAir,82,192
868,TestIndigo,283,102
871,AirAsia India,283,458
588,AirAsia India,283,82
2808,SpiceJet,1179,283
376,Jet Airways,140,458
502,AirAsia India,11,11
772,Vistara,283,458
7252,TestIndigo,192,251
1216,SpiceJet,82,101
921,GoAir,120,120
404,SpiceJet,192,13
334,Jet Airways,140,458
143,SpiceJet,140,82
336,Jetlite,140,458
629,Air India,458,487
775,TestIndigo,283,102
8477,SpiceJet,458,140
809,Air India,458,140
695,Vistara,140,31
147,Jet Airways,210,325
335,AirAsia India,458,82
8379,SpiceJet,140,207
6685,TestIndigo,13,140
3419,SpiceJet,82,682
710,Jet Airways,235,210
371,TestIndigo,13,82
354,SpiceJet,635,82
2037,TestIndigo,140,23
146,TestIndigo,53,82
712,AirAsia India,140,140
3694,SpiceJet,207,279
6239,TestIndigo,635,120
986,Jet Airways,1148,140
356,TestIndigo,82,120
7123,TestIndigo,207,735
7348,TestIndigo,1170,207
802,GoAir,13,82
217,GoAir,82,210
521,TruJet,120,131
8951,SpiceJet,279,140
872,GoAir,82,251
628,Jet Airways,283,458
502,SpiceJet,120,13
943,Jet Airways,283,192
310,GoAir,13,120
833,Jet Airways,82,140
616,TestIndigo,13,140
835,TestIndigo,325,702
5332,TestIndigo,458,82
1221,TestIndigo,325,210
3508,SpiceJet,635,283
188,Jet Airways,138,140
308,TestIndigo,207,102
954,Vistara,458,140
858,Vistara,82,458
5024,TestIndigo,140,31
7986,TestIndigo,23,730
118,TestIndigo,120,131
377,GoAir,771,458
7947,TestIndigo,209,151
389,SpiceJet,283,1019
712,SpiceJet,82,283
880,GoAir,82,1179
205,GoAir,140,140
785,GoAir,207,1179
246,SpiceJet,82,635
932,SpiceJet,458,138
897,Jet Airways,458,101
354,AirAsia India,207,120
520,GoAir,82,140
814,Air India,702,116
417,SpiceJet,207,13
2752,SpiceJet,217,635
3742,SpiceJet,192,82
406,TestIndigo,102,82
2932,SpiceJet,212,13
795,AirAsia India,140,13
8473,SpiceJet,140,1019
823,TestIndigo,13,82
941,TestIndigo,82,53
558,Air India,140,207
922,Jet Airways,82,702
907,Jet Airways,140,283
898,TestIndigo,283,140
818,TestIndigo,140,116
2931,SpiceJet,13,212
703,Vistara,140,192
815,TestIndigo,635,207
6831,TestIndigo,325,730
879,TestIndigo,13,207
1004,SpiceJet,207,207
644,GoAir,207,251
3426,SpiceJet,120,82
6011,TestIndigo,120,82
953,GoAir,120,207
845,Jet Airways,140,120
7206,TestIndigo,1170,207
5001,TestIndigo,140,120
6702,SpiceJet,458,140
1519,AirAsia India,207,82
330,Jet Airways,13,458
316,Jetlite,140,458
2571,GoAir,140,251
598,AirAsia India,283,120
957,SpiceJet,140,998
504,SpiceJet,283,120
139,TestIndigo,82,11
852,GoAir,702,192
942,GoAir,120,283
3526,SpiceJet,207,120
275,GoAir,140,702
454,Air India,31,140
429,Jetlite,120,458
767,TestIndigo,140,207
2256,TestIndigo,102,140
653,TestIndigo,140,13
3017,SpiceJet,279,82
451,Jetlite,458,207
170,GoAir,13,140
329,TestIndigo,82,283
764,AirAsia India,120,140
7124,TestIndigo,735,120
754,Vistara,771,140
125,SpiceJet,140,207
631,Vistara,140,1157
456,TestIndigo,82,102
490,Air India,1019,140
804,TestIndigo,730,458
247,SpiceJet,635,82
8033,TestIndigo,283,82
948,SpiceJet,746,458
713,TestIndigo,82,207
768,TestIndigo,458,120
2135,TestIndigo,82,140
8952,SpiceJet,140,192
344,AirAsia India,458,207
8049,TestIndigo,283,635
1477,AirAsia India,82,1019
413,TestIndigo,82,82
6927,TestIndigo,116,283
8147,SpiceJet,31,140
536,AirAsia India,82,102
431,GoAir,217,82
6794,TestIndigo,82,458
465,GoAir,116,140
156,TestIndigo,82,13
6933,SpiceJet,138,458
342,SpiceJet,192,207
3712,SpiceJet,1019,207
675,Jet Airways,192,138
3752,TestIndigo,131,120
714,Air India,209,283
601,Jet Airways,140,998
810,Jet Airways,31,140
2645,SpiceJet,140,140
951,SpiceJet,192,140
3514,GoAir,120,140
927,Vistara,140,458
6839,TestIndigo,635,82
537,TestIndigo,82,82
609,AirAsia India,140,116
511,GoAir,458,283
471,SpiceJet,207,140
652,Vistara,116,458
1006,SpiceJet,207,1019
8104,SpiceJet,120,140
771,Air India,283,82
2196,SpiceJet,212,140
6433,TestIndigo,458,13
646,Jet Airways,116,140
7154,TestIndigo,735,207
752,Vistara,771,140
860,GoAir,82,116
401,SpiceJet,13,283
2392,AirAsia India,120,82
6323,TestIndigo,207,209
549,TestIndigo,116,120
1311,GoAir,13,283
913,Vistara,140,210
281,SpiceJet,223,458
7229,TestIndigo,120,82
2489,TestIndigo,102,140
6624,TestIndigo,207,120
6342,TestIndigo,279,13
856,Jetlite,140,140
609,SpiceJet,120,192
571,GoAir,283,207
475,Air India,140,235
3253,SpiceJet,1170,1179
5321,TestIndigo,210,458
382,GoAir,116,82
522,TestIndigo,82,82
212,TestIndigo,140,217
3754,SpiceJet,1157,82
951,AirAsia India,217,140
428,Air India,1157,140
3608,SpiceJet,82,120
155,GoAir,192,140
135,Jet Airways,192,458
816,Jetlite,82,140
6492,TestIndigo,13,140
8001,TestIndigo,283,458
6698,TestIndigo,702,140
756,Jet Airways,217,140
654,TestIndigo,120,458
8722,SpiceJet,635,140
6187,TestIndigo,207,82
293,GoAir,702,82
219,GoAir,140,140
728,Jet Airways,635,140
725,Vistara,140,151
531,SpiceJet,13,82
884,AirAsia India,458,140
8188,SpiceJet,140,702
6116,TestIndigo,207,102
701,Air India,283,140
5006,TestIndigo,140,120
682,Vistara,235,140
337,TestIndigo,279,116
866,Vistara,82,120
591,GoAir,207,279
2051,TestIndigo,140,1157
7259,TestIndigo,207,210
263,TestIndigo,13,120
975,AirAsia India,82,702
7221,TestIndigo,82,120
7972,TestIndigo,102,120
6186,TestIndigo,82,207
837,Jet Airways,140,1114
197,SpiceJet,140,82
1229,AirAsia India,13,82
928,TestIndigo,458,120
178,TestIndigo,635,82
2781,SpiceJet,82,207
452,TestIndigo,13,13
744,TestIndigo,207,131
432,TestIndigo,140,13
6825,TestIndigo,82,120
3467,SpiceJet,138,138
122,SpiceJet,140,207
762,AirAsia India,120,140
924,GoAir,325,120
6267,SpiceJet,458,140
793,TestIndigo,116,120
157,Jet Airways,283,116
862,TestIndigo,283,702
551,AirAsia India,11,140
7253,TestIndigo,251,283
133,TruJet,207,1170
622,Air India,116,458
8664,SpiceJet,140,746
6053,TestIndigo,325,13
5386,TestIndigo,458,210
739,Air India,102,82
168,TestIndigo,458,140
459,TestIndigo,138,120
890,GoAir,702,487
3505,Jet Airways,702,192
781,Vistara,140,102
515,TestIndigo,120,325
7169,TestIndigo,207,251
696,TestIndigo,1157,82
2104,TestIndigo,140,487
6001,TestIndigo,1179,120
761,TestIndigo,207,207
398,TestIndigo,771,140
864,Vistara,82,458
747,TestIndigo,82,1148
647,SpiceJet,82,207
307,TestIndigo,140,283
3720,Air India,209,283
5353,TestIndigo,120,458
8153,SpiceJet,140,235
601,AirAsia India,140,217
464,Air India,116,140
952,SpiceJet,140,192
5008,TestIndigo,140,120
76,Air India,102,140
756,SpiceJet,13,207
675,AirAsia India,82,192
677,Air India,458,140
741,Vistara,140,192
279,TestIndigo,82,82
423,SpiceJet,702,120
1572,AirAsia India,207,279
730,Jet Airways,140,635
437,Jetlite,702,210
2021,TestIndigo,102,140
2039,TestIndigo,140,101
433,Air India,140,140
488,SpiceJet,283,458
624,GoAir,82,251
3252,SpiceJet,1179,120
851,Air India,13,13
618,Vistara,138,140
114,TruJet,1085,82
460,Jet Airways,120,458
914,Jet Airways,458,13
103,TruJet,207,1091
2538,SpiceJet,140,1157
1059,SpiceJet,207,1179
810,AirAsia India,82,13
523,GoAir,325,13
8978,SpiceJet,339,140
492,TestIndigo,102,82
541,AirAsia India,283,192
611,Air India,458,217
242,TestIndigo,207,207
6246,TestIndigo,140,138
6321,TestIndigo,207,116
8154,SpiceJet,140,13
6253,TestIndigo,120,101
569,Air India,120,458
277,TestIndigo,11,192
728,SpiceJet,120,1157
732,Air India,283,458
154,TestIndigo,207,140
201,TruJet,207,120
7743,TestIndigo,207,251
422,GoAir,140,207
936,Jet Airways,192,192
3471,SpiceJet,283,1179
683,SpiceJet,217,120
7161,TestIndigo,1085,82
617,GoAir,140,487
2103,GoAir,1019,283
6373,TestIndigo,140,13
121,GoAir,207,82
801,Air India,140,82
7929,TestIndigo,12,101
580,AirAsia India,11,11
8638,SpiceJet,101,140
514,AirAsia India,207,82
272,TestIndigo,458,140
968,AirAsia India,140,279
395,GoAir,82,325
544,Air India,140,207
6845,TestIndigo,31,82
274,TestIndigo,116,120
686,Air India,31,458
513,GoAir,82,116
8189,SpiceJet,140,702
1215,SpiceJet,339,82
765,Air India,131,120
847,TestIndigo,82,82
693,Air India,458,82
706,Vistara,140,116
647,Jet Airways,140,13
392,TestIndigo,207,283
8704,SpiceJet,458,140
637,GoAir,82,251
347,GoAir,458,279
5391,TestIndigo,458,120
105,GoAir,140,283
806,Air India,458,140
3550,Jet Airways,138,82
425,Jetlite,458,131
715,TestIndigo,458,82
620,GoAir,207,251
3571,TestIndigo,702,140
8746,SpiceJet,252,140
968,SpiceJet,223,140
2679,AirAsia India,487,82
580,SpiceJet,283,1179
2782,SpiceJet,207,82
1223,TestIndigo,210,487
501,Air India,82,82
6425,SpiceJet,283,458
3794,TestIndigo,82,458
8163,SpiceJet,458,252
7205,TestIndigo,207,1170
210,GoAir,140,140
881,Vistara,140,279
403,GoAir,82,82
587,TestIndigo,207,207
5325,TestIndigo,458,487
762,Jet Airways,458,140
667,Air India,458,207
6683,TestIndigo,13,140
169,TestIndigo,13,82
939,GoAir,325,120
355,TestIndigo,131,82
903,Jet Airways,140,283
5395,TestIndigo,82,458
759,TestIndigo,120,120
812,GoAir,82,279
670,GoAir,325,1019
923,GoAir,120,635
6153,TestIndigo,458,283
6285,SpiceJet,458,138
8734,SpiceJet,1114,140
5324,TestIndigo,82,140
286,TestIndigo,140,702
6129,TestIndigo,210,13
599,AirAsia India,120,283
824,Vistara,120,458
6829,TestIndigo,13,325
773,Air India,283,283
648,TestIndigo,210,207
104,SpiceJet,120,140
2047,TestIndigo,140,140
545,GoAir,207,771
883,Vistara,140,279
116,GoAir,82,140
108,GoAir,140,116
951,Jet Airways,210,120
562,GoAir,116,458
3345,SpiceJet,283,192
2548,SpiceJet,458,212
592,GoAir,102,140
839,Jet Airways,458,140
2773,SpiceJet,217,31
471,Jet Airways,458,116
3612,SpiceJet,82,207
6366,TestIndigo,207,1179
282,TestIndigo,140,283
159,TestIndigo,102,13
137,TestIndigo,120,279
2644,SpiceJet,746,140
3552,Jet Airways,23,210
2409,TestIndigo,730,140
675,SpiceJet,283,120
2096,TestIndigo,487,140
441,TestIndigo,120,116
258,SpiceJet,458,458
820,Jet Airways,82,140
583,SpiceJet,279,283
808,GoAir,82,82
339,GoAir,458,140
1219,TestIndigo,487,325
717,GoAir,140,13
6123,TestIndigo,283,138
803,Air India,140,82
884,Jet Airways,120,82
679,Air India,131,131
728,AirAsia India,140,702
160,SpiceJet,140,140
971,Vistara,140,702
349,GoAir,458,1157
887,TestIndigo,120,82
2942,SpiceJet,212,207
3581,SpiceJet,207,1019
2678,AirAsia India,82,283
6369,TestIndigo,207,82
8258,SpiceJet,31,140
8105,SpiceJet,140,120
894,Jet Airways,101,140
141,Jet Airways,82,635
117,Air India,140,31
6169,TestIndigo,210,279
7212,TestIndigo,339,120
6632,SpiceJet,217,1114
483,Jet Airways,458,82
3711,SpiceJet,207,1019
508,TestIndigo,635,140
943,SpiceJet,635,140
645,TestIndigo,13,13
2515,GoAir,140,487
209,TestIndigo,102,120
871,Jet Airways,82,120
901,GoAir,120,325
900,Jet Airways,82,279
8751,SpiceJet,140,635
224,SpiceJet,746,458
2141,TestIndigo,140,116
3540,Jet Airways,635,702
6782,TestIndigo,120,279
446,GoAir,140,458
546,GoAir,192,283
1710,GoAir,1070,120
477,Air India,140,102
6476,SpiceJet,458,279
613,TestIndigo,120,120
8721,SpiceJet,140,635
6332,TestIndigo,13,458
374,TestIndigo,283,11
255,TestIndigo,82,635
8002,TestIndigo,458,283
722,GoAir,13,13
481,TestIndigo,82,217
417,Jet Airways,217,458
438,GoAir,82,1019
334,AirAsia India,82,458
552,AirAsia India,283,140
411,Jet Airways,13,82
1621,AirAsia India,82,82
389,Jet Airways,1070,458
402,TestIndigo,702,140
932,Jet Airways,210,487
503,SpiceJet,120,283
1882,AirAsia India,82,192
976,AirAsia India,702,82
194,Jet Airways,13,192
296,GoAir,192,283
6281,SpiceJet,223,458
710,AirAsia India,998,140
632,Jet Airways,702,131
484,TestIndigo,1114,207
922,SpiceJet,13,13
1129,AirAsia India,82,279
102,GoAir,283,140
786,TestIndigo,140,283
176,TestIndigo,140,138
301,TestIndigo,279,120
615,GoAir,140,102
373,GoAir,82,82
2049,TestIndigo,325,140
6287,SpiceJet,458,120
214,TestIndigo,13,23
208,SpiceJet,207,192
115,GoAir,116,140
2637,TestIndigo,140,82
957,Jet Airways,236,140
849,TestIndigo,82,458
152,TestIndigo,31,82
891,Air India,140,192
684,TestIndigo,82,207
733,TestIndigo,140,140
635,Vistara,140,31
6877,TestIndigo,702,131
7101,TestIndigo,207,120
164,TestIndigo,82,13
448,GoAir,140,458
736,TestIndigo,140,116
697,Air India,458,635
193,TestIndigo,120,102
132,TruJet,1170,207
416,Air India,635,140
2872,SpiceJet,212,458
443,TestIndigo,11,102
811,Air India,140,325
795,Jet Airways,31,140
996,Vistara,458,140
6168,TestIndigo,279,210
731,TestIndigo,192,102
612,Vistara,140,140
241,GoAir,82,702
977,Jet Airways,120,131
671,GoAir,1019,325
8482,SpiceJet,1019,140
126,SpiceJet,207,140
463,TestIndigo,82,82
721,GoAir,13,702
8962,SpiceJet,207,140
430,GoAir,140,217
8637,SpiceJet,140,101
2746,SpiceJet,252,140
896,TestIndigo,279,13
6672,TestIndigo,11,140
2257,TestIndigo,140,13
2073,TestIndigo,140,223
642,Air India,116,140
414,Jet Airways,458,120
177,TruJet,207,210
295,GoAir,283,192
330,AirAsia India,458,140
643,Jet Airways,140,207
2563,TestIndigo,140,82
387,GoAir,458,771
376,SpiceJet,283,120
799,Vistara,140,998
6005,TestIndigo,120,82
1425,GoAir,13,120
707,Jet Airways,13,210
8255,SpiceJet,283,140
561,GoAir,458,116
6344,TestIndigo,120,120
3708,Air India,688,283
2107,TestIndigo,954,140
198,GoAir,140,140
774,SpiceJet,217,82
385,Jet Airways,458,210
3715,SpiceJet,339,82
877,Vistara,458,207
5031,TestIndigo,140,82
969,Vistara,140,13
238,GoAir,771,140
3551,Air India,120,688
853,Air India,140,702
354,Jet Airways,140,458
3787,SpiceJet,101,217
8016,TestIndigo,279,207
7248,TestIndigo,212,207
1003,SpiceJet,207,1170
784,TestIndigo,192,279
386,GoAir,998,458
512,Vistara,279,140
983,AirAsia India,82,458
6568,TestIndigo,53,458
404,Jet Airways,279,458
260,SpiceJet,283,140
2192,TestIndigo,140,192
8256,SpiceJet,140,283
6361,TestIndigo,207,13
2024,TestIndigo,140,31
813,Air India,116,702
627,TestIndigo,207,131
404,Air India,746,140
453,Jetlite,140,207
571,TestIndigo,120,120
6806,TestIndigo,217,13
814,AirAsia India,140,102
212,GoAir,325,140
382,TestIndigo,207,82
522,GoAir,140,325
1729,AirAsia India,217,82
155,TestIndigo,140,458
231,SpiceJet,140,13
6467,TestIndigo,207,730
6007,TestIndigo,120,120
737,Vistara,140,283
219,TestIndigo,82,82
2071,TestIndigo,140,138
293,TestIndigo,207,207
5015,TestIndigo,11,140
687,TestIndigo,1157,82
676,SpiceJet,120,283
899,TestIndigo,283,192
7137,TestIndigo,487,207
3551,Jet Airways,210,23
2977,TestIndigo,140,82
2565,TestIndigo,1091,140
1426,GoAir,120,283
337,GoAir,140,458
6367,TestIndigo,487,140
674,Vistara,1157,140
591,TestIndigo,120,120
707,Air India,458,210
1238,SpiceJet,207,82
184,SpiceJet,1157,120
642,Jet Airways,116,458
2475,TestIndigo,82,140
2420,SpiceJet,1157,140
2507,GoAir,116,140
2034,SpiceJet,138,140
6263,TestIndigo,458,1148
1478,AirAsia India,1019,82
414,Air India,325,140
8713,SpiceJet,140,217
643,Air India,458,1114
744,GoAir,325,116
598,Air India,283,120
452,GoAir,702,120
7264,TestIndigo,217,116
178,GoAir,210,140
6242,TestIndigo,207,771
432,GoAir,82,120
924,TestIndigo,120,635
793,GoAir,283,102
150,GoAir,635,140
931,Jet Airways,702,82
862,GoAir,82,120
706,TruJet,686,13
977,Air India,82,207
909,Jet Airways,209,140
361,Jet Airways,458,140
798,AirAsia India,192,140
459,GoAir,13,458
168,GoAir,635,140
515,GoAir,13,116
2104,GoAir,283,11
8159,SpiceJet,140,458
673,TestIndigo,702,13
1325,AirAsia India,82,116
761,GoAir,102,283
811,Jet Airways,140,82
6304,TestIndigo,207,53
8938,SpiceJet,140,702
398,GoAir,458,82
476,Air India,235,140
307,GoAir,210,13
6158,TestIndigo,116,192
5305,TestIndigo,458,210
7114,TestIndigo,82,1091
5017,TestIndigo,31,102
767,GoAir,13,140
3426,Air India,223,140
419,Jetlite,131,458
848,TestIndigo,458,82
416,Jet Airways,82,458
271A,TestIndigo,283,120
329,GoAir,458,140
468,GoAir,279,458
965,Jet Airways,140,325
2403,TestIndigo,140,120
504,Air India,140,82
2694,TestIndigo,140,120
2148,TestIndigo,140,998
804,GoAir,13,82
713,GoAir,140,13
3310,SpiceJet,82,82
606,TestIndigo,120,120
7164,TestIndigo,1085,279
826,Vistara,120,458
6814,TestIndigo,13,217
768,GoAir,140,13
758,Vistara,283,458
7329,TestIndigo,1170,1091
842,TestIndigo,116,140
413,GoAir,13,458
753,TestIndigo,1114,458
3319,SpiceJet,151,151
632,Air India,101,458
2108,TestIndigo,82,140
328,TestIndigo,82,82
885,TestIndigo,192,140
6347,TestIndigo,217,458
798,SpiceJet,207,120
1424,AirAsia India,82,702
431,TestIndigo,102,82
3325,SpiceJet,82,193
719,Jet Airways,487,210
465,TestIndigo,11,192
156,GoAir,1157,283
1358,AirAsia India,82,210
6704,SpiceJet,458,140
2172,TestIndigo,223,140
411,Air India,138,138
704,Jet Airways,138,458
2382,AirAsia India,207,120
6002,TestIndigo,120,131
6197,TestIndigo,1157,140
391,Jet Airways,458,207
829,Jet Airways,140,120
1559,AirAsia India,102,82
8184,SpiceJet,82,140
2167,TestIndigo,31,140
3514,TestIndigo,82,31
6162,TestIndigo,635,116
691,Vistara,140,31
417,Air India,140,771
6834,TestIndigo,13,120
614,Vistara,1114,458
6379,SpiceJet,339,458
958,SpiceJet,82,138
225,SpiceJet,458,82
537,GoAir,13,13
172,TruJet,210,13
629,AirAsia India,458,102
511,TestIndigo,207,82
477,Jet Airways,458,82
3564,SpiceJet,283,193
973,TestIndigo,120,82
16,Air India,140,31
6606,TestIndigo,217,140
7244,TestIndigo,101,13
2175,TestIndigo,140,82
449A,SpiceJet,998,458
2798,SpiceJet,120,82
743,Jetlite,140,82
657,TestIndigo,140,116
912,SpiceJet,13,140
8963,SpiceJet,140,1070
502,Air India,82,82
588,Air India,279,82
7227,TestIndigo,101,207
3076,SpiceJet,1070,82
676,AirAsia India,192,82
6236,TestIndigo,140,120
2055,TestIndigo,53,140
802,TestIndigo,730,458
771,SpiceJet,458,120
217,TestIndigo,120,31
8624,SpiceJet,101,140
3213,SpiceJet,283,954
483,Air India,140,730
701,AirAsia India,140,13
401,Air India,140,283
655,TestIndigo,210,458
872,TestIndigo,207,120
6179,TestIndigo,458,771
5372,TestIndigo,1148,458
616,GoAir,102,140
679,Jet Airways,140,730
308,GoAir,13,1157
510,Vistara,192,140
118,GoAir,82,140
377,TestIndigo,140,152
785,TestIndigo,207,102
8956,SpiceJet,13,140
6345,TestIndigo,279,82
2894,TestIndigo,140,31
3552,Air India,688,120
363,SpiceJet,192,207
820,Air India,1148,140
302,Jet Airways,140,458
3609,SpiceJet,120,339
